time_stamp, total time, matches num, keypoints num, search time, delete size, delete time, tree size st, tree size end, add point size, preprocess time
1669817724.10881233,1.27002979,0,377,0,16697,0.00000000,24850,11740,40445920,0.00000000
1669817724.20874357,0.18341729,356,377,0,24850,0.00000000,31582,9455,40445920,0.00000000
1669817724.30900264,0.19435369,307,375,0,31582,0.00000000,36721,8842,40445920,0.00000000
1669817724.40934253,0.19204591,316,368,0,36721,0.00000000,41986,8675,40445920,0.00000000
1669817724.50945354,0.18374294,326,378,0,41986,0.00000000,47017,8523,40445920,0.00000000
1669817724.60920024,0.18348912,328,360,0,46339,0.00000000,50041,7697,40445920,0.00000000
1669817724.70888853,0.19106779,321,359,0,50041,0.00000000,54157,7127,40445920,0.00000000
1669817724.80857444,0.19335566,333,363,0,52396,0.00000000,56638,6646,40445920,0.00000000
1669817724.90846634,0.18645462,330,365,0,56638,0.00000000,59753,5903,40445920,0.00000000
1669817725.00788403,0.18415200,319,376,0,59753,0.00000000,62511,5547,40445920,0.00000000
1669817725.10800791,0.17989285,365,393,0,60162,0.00000000,63067,5301,40445920,0.00000000
1669817725.20828176,0.18002037,335,368,0,63067,0.00000000,66068,5599,40445920,0.00000000
1669817725.30855203,0.19699159,330,372,0,66068,0.00000000,69066,5825,40445920,0.00000000
1669817725.40839887,0.17396182,329,392,0,69066,0.00000000,72040,5926,40445920,0.00000000
1669817725.50922346,0.18278294,344,378,0,72040,0.00000000,74826,5770,40445920,0.00000000
1669817725.60902262,0.19563307,350,393,0,74826,0.00000000,77221,5494,40445920,0.00000000
1669817725.70920277,0.19176520,345,376,0,77221,0.00000000,79293,4927,40445920,0.00000000
1669817725.80904245,0.18766473,337,368,0,79293,0.00000000,80993,4784,40445920,0.00000000
1669817725.90844464,0.17845433,332,378,0,80993,0.00000000,82841,4305,40445920,0.00000000
1669817726.00874543,0.17179775,353,392,0,82841,0.00000000,83612,3532,40445920,0.00000000
1669817726.10876870,0.18646804,297,376,0,83612,0.00000000,85146,3637,40445920,0.00000000
1669817726.20844865,0.17698812,326,371,0,85146,0.00000000,86605,4809,40445920,0.00000000
1669817726.30856180,0.19092430,328,367,0,86605,0.00000000,89410,5882,40445920,0.00000000
1669817726.40921855,0.19280692,320,357,0,89410,0.00000000,92029,6140,40445920,0.00000000
1669817726.50882983,0.19333533,299,373,0,92029,0.00000000,94219,5332,40445920,0.00000000
1669817726.60888457,0.18186982,346,372,0,94219,0.00000000,96056,4883,40445920,0.00000000
1669817726.70914507,0.18035283,352,386,0,96056,0.00000000,97783,4153,40445920,0.00000000
1669817726.80899072,0.18443704,341,386,0,97783,0.00000000,98851,3446,40445920,0.00000000
1669817726.90945959,0.17365376,361,393,0,98851,0.00000000,100153,3171,40445920,0.00000000
1669817727.00857043,0.17197084,374,402,0,100153,0.00000000,101337,3524,40445920,0.00000000
1669817727.10856915,0.17631301,350,372,0,101337,0.00000000,102877,4156,40445920,0.00000000
1669817727.20825863,0.17981478,313,371,0,102877,0.00000000,104426,4224,40445920,0.00000000
1669817727.30939913,0.17794038,300,378,0,104426,0.00000000,105799,3730,40445920,0.00000000
1669817727.40919018,0.18032365,323,371,0,103961,0.00000000,105707,3613,40445920,0.00000000
1669817727.50883579,0.19233724,356,389,0,105707,0.00000000,107149,3449,40445920,0.00000000
1669817727.60988569,0.17702531,302,374,0,107149,0.00000000,108827,3773,40445920,0.00000000
